id,form_type,title,product_id,language_id,qr_code_path,cropName,verityName,breederName,countryOrigin,registrationNumber,varietyType,seedCategory,precocity,fruitColor,fruitShape,leafLength,leafColor,plantHeight,plantHabit,bioticResistance,abioticResistance,InherentNutritionalValue,other,yield,otherRecommendations,otherRecommendationsPhoto,wholesalePrice,semiwholesalePrice,retailPrice,supplier_id,agent_id,created_by,created_at,updated_at,qr_code_url
84,seed_form,seed,8,1,,seed,oil,rosted,inida,up,Hybrid,1,red,l,res,10,10,10,rhizomatous,12,12,"Rich in Beta-carotene",1,1,1,seed_photos/mKAUXJ9bm2zGtIrPIhWP3K3L99aZNuEAw1LuvGb0.png,1.00,11.00,1.00,72,,1,"2025-11-05 12:03:18","2025-11-05 12:03:18",
85,seed_form,,8,1,qrcodes/seedform_85.png,maize,maize,"yene mazes",Eth,1324,Hybrid,breeder,122,orange,"semi flattened",12,green,10,epiphytes,12,4,"[""Rich in Beta-carotene""]",other,34,,uploads/seed_images/1762520723_690dee93bbcd4.jpg,34.00,44.00,67.00,109,48,1,"2025-11-06 15:28:21","2025-11-07 13:05:23",https://fivoflow.com/wclm/public/qrcodes/seedform_85.png
86,seed_form,,8,1,qrcodes/seedform_86.png,28-10-25,"Golld King","ICAR Delhi",India,REG-98765,Hybrid,Certified,"120 days","Light Brown",Round,Medium,"Dark Green","110 cm",erected,"Fungal resistance","Drought tolerance","[""Rich in Beta-carotene"",""Rich in Iron"",""Rich in Antioxidant""]","Performs well in rainfed areas","40 quintal/ha","Use organic fertilizer during sowing",,250.00,300.00,350.00,73,3,,"2025-11-07 05:37:26","2025-11-07 05:41:57",https://fivoflow.com/wclm/public/qrcodes/seedform_86.png
87,seed_form,,8,1,qrcodes/seedform_87.png,Tomato,"Cherry Red","ABC Breeders",India,REG12345,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,100.00,120.00,150.00,2,3,1,"2025-11-07 10:34:30","2025-11-07 10:34:30",https://fivoflow.com/wclm/public/qrcodes/seedform_87.png
88,seed_form,,8,1,qrcodes/seedform_88.png,Tomato,"Cherry Red","ABC Breeders",India,REG12345,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,100.00,120.00,150.00,2,3,1,"2025-11-07 10:37:20","2025-11-07 10:37:20",https://fivoflow.com/wclm/public/qrcodes/seedform_88.png
89,seed_form,,8,1,qrcodes/seedform_89.png,Tomato,"Cherry Red","ABC Breeders",India,REG12345,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,100.00,120.00,150.00,2,3,1,"2025-11-07 10:47:41","2025-11-07 10:47:41",https://fivoflow.com/wclm/public/qrcodes/seedform_89.png
90,seed_form,,8,1,qrcodes/seedform_90.png,121,mp,,,85,,,,,,,,,,,,[],,,,,2.00,2.00,2.00,,,,"2025-11-07 10:58:25","2025-11-07 10:58:25",https://fivoflow.com/wclm/public/qrcodes/seedform_90.png
91,seed_form,,8,1,qrcodes/seedform_91.png,21121,mp,,,85,,,,,,,,,,,,[],,,,uploads/seed_images/1762513463_690dd23722caf.jpg,2.00,2.00,2.00,,,,"2025-11-07 11:03:53","2025-11-07 11:04:23",https://fivoflow.com/wclm/public/qrcodes/seedform_91.png
92,seed_form,,8,1,qrcodes/seedform_92.png,21121,mp,"ABC Breeder",India,85,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,2.00,2.00,2.00,1,1,1,"2025-11-07 11:58:49","2025-11-07 11:58:49",https://fivoflow.com/wclm/public/qrcodes/seedform_92.png
93,seed_form,,8,1,qrcodes/seedform_93.png,21121,mp,"ABC Breeder",India,85,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""[Rich in vitamin C]"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,2.00,2.00,2.00,1,1,1,"2025-11-07 12:00:13","2025-11-07 12:00:13",https://fivoflow.com/wclm/public/qrcodes/seedform_93.png
