"Table Name",Field,Value,"QR Code URL"
seeds,id,84,
seeds,form_type,seed_form,
seeds,title,seed,
seeds,product_id,8,
seeds,language_id,1,
seeds,qr_code_path,,
seeds,cropName,seed,
seeds,verityName,oil,
seeds,breederName,rosted,
seeds,countryOrigin,inida,
seeds,registrationNumber,up,
seeds,varietyType,Hybrid,
seeds,seedCategory,1,
seeds,precocity,red,
seeds,fruitColor,l,
seeds,fruitShape,res,
seeds,leafLength,10,
seeds,leafColor,10,
seeds,plantHeight,10,
seeds,plantHabit,rhizomatous,
seeds,bioticResistance,12,
seeds,abioticResistance,12,
seeds,InherentNutritionalValue,"Rich in Beta-carotene",
seeds,other,1,
seeds,yield,1,
seeds,otherRecommendations,1,
seeds,otherRecommendationsPhoto,seed_photos/mKAUXJ9bm2zGtIrPIhWP3K3L99aZNuEAw1LuvGb0.png,
seeds,wholesalePrice,1.00,
seeds,semiwholesalePrice,11.00,
seeds,retailPrice,1.00,
seeds,supplier_id,72,
seeds,agent_id,,
seeds,created_by,1,
seeds,created_at,2025-11-05T12:03:18.000000Z,
seeds,updated_at,2025-11-05T12:03:18.000000Z,
seeds,qr_code_url,,

veterinary_products,id,44,
veterinary_products,form_type,veterinary_product,
veterinary_products,title,,
veterinary_products,product_name,ter,
veterinary_products,manufacturing_lab,jknsjc,
veterinary_products,active_substance,nca,
veterinary_products,registration_number,j,
veterinary_products,therapeutic_class,Antibiotics,
veterinary_products,other_therapeutic_class,j,
veterinary_products,dosage,1,
veterinary_products,pharmaceutical_form,1,
veterinary_products,route_of_administration,1,
veterinary_products,targeted_animals,1,
veterinary_products,waiting_period,1,
veterinary_products,expiry_date,2025-11-05,
veterinary_products,transport_storage_requirements,2,
veterinary_products,wholesale_price,2.00,
veterinary_products,semiwholesale_price,2.00,
veterinary_products,retail_price,2.00,
veterinary_products,qr_code_path,,
veterinary_products,product_id,1,
veterinary_products,created_by,1,
veterinary_products,supplier_id,72,
veterinary_products,agent_id,,
veterinary_products,language_id,1,
veterinary_products,created_at,2025-11-05T12:04:18.000000Z,
veterinary_products,updated_at,2025-11-06T05:46:55.000000Z,
veterinary_products,qr_code_url,,

organic_amendments,id,63,
